agentId,community_id
23077,2
20014,2
20015,2
20016,2
20017,2
20018,2
20019,2
20020,2
20021,2
20022,2
20023,2
20024,2
20029,2
24138,2
24139,2
24140,2
23121,2
23126,2
23127,2
10841,2
23131,2
23132,2
24163,2
24171,2
23148,2
23149,2
23150,2
13943,2
23160,2
13945,2
13947,2
23166,2
23167,2
23168,2
23169,2
23170,2
23171,2
23172,2
23173,2
23174,2
13950,2
23176,2
16001,2
23178,2
23179,2
13962,2
23181,2
23182,2
23183,2
13963,2
13965,2
13966,2
13967,2
23193,2
21145,2
6809,2
23195,2
23199,2
6817,2
25255,2
13992,2
17067,2
19124,2
14021,2
14024,2
14025,2
13025,2
13026,2
6888,2
26345,2
13951,2
23311,2
6940,2
23329,2
23330,2
23331,2
15137,2
14162,2
