"blockNumber","transactionHash","logIndex","address","event","agentId","clientAddress","indexedTag1","feedbackIndex","value","valueDecimals","tag1","tag2","endpoint","feedbackURI","feedbackHash"
"24433258","0xefe5255eb1278080161d8b6f48f2d9b5906ea1554779060f6068c151cfe6ebcd","489","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","22346","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x2630fc143dcb093ba7ee4a96b42b50d8a65227fc7f6324e80d9d1c921cd5c5c1"
"24433263","0x1d2e74b950469ce5cd369609675aa925b951f01da73b0f0b6a9ac3d1c14f1914","528","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","16473","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x1e84d5a7ad853c4c308484f03e1e9693a228b319e6d40dc7d92d4a8a6974854f"
"24433266","0xd2067506af54c4be6d2e81a6311486068f0dfdc00923dd102883368ef95b6fd7","350","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","20390","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x30dfb984546bc899854b7e00caf88deb1539c0379244ec26d959ce18c5a1cdad"
"24433269","0x716aecf2019d96f7fcc84338b3335b1821e721a022ec2ec65f2f8d24a1773819","438","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","11274","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x36ec4f56d0d2d8a4ece9950fb50b0e830ce54bc5292f9a9df0a8b40f54b5e93c"
"24433273","0xf4aae95ec0c3eee653e31864e8b4467fe9e377e3420d07a5a6c75803c2d5fee7","717","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","21811","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x7cbb6f9cfe4454e3feea9e3837db9246d4066984c09ddd59a934b92599c1ca73"
"24433277","0xa2f2a7b86b6805d50033ce04a001bb81b7125203cd1de74bf351b9e97dd528a8","420","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","17058","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x9831df9599e118db7748772ab321611b4de560097de2a3c1bc3a4d3334072783"
"24433280","0xbaa38341f5c67337daa91999a1671b1a925352f36b39c45bd763c08e9dc88fdf","626","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","3267","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0x90dbee9d87d6440c27c601f81cfd9aeb695431649e047fe43e7105512264b578","1","30","0","trust","oracle-screening","Oracle screening: risk=high, flags=[HIGH_RISK_SCORE, CONCENTRATED_FEEDBACK]","","0x83d355997967795cb233bb2cb442a2a4ad8847fbe2055f4e555c313b42aaf2be"
"24433283","0xeef6ba3a7ae47bcd6715b5af149847dbf23c7bbf14f7fce650604061bfa6076f","399","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","2761","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","2","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0xe4fc5543a60264462bb8ea327ea96ec9d829d23244e12ce1d520fc72b552548c"
"24433286","0x61e521be58730222f863af53678c386d7e54883627783b2240ff7fb9af781682","387","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","22703","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","2","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://food-intel-production.up.railway.app/.well-known/erc8004.json","","0x2e51ee4334edf48f516fbbb06b8ef4906c4ce97c68fe7b4dd1bfa923ce67e835"
"24433297","0x1124be24232af3e1282856ae8a528d850e6d41f916b50ecce7decd2aed225610","264","0x8004BAa17C55a88189AE136b182e5fdA19dE9b63","NewFeedback","2610","0xF653068677A9a26d5911Da8ABd1500d043EC807e","0xf32a9c3077a9b8e2ccb97670cf9722e808c2460acba29dc22f29ebc72c4604f1","1","100","0","liveness","liveness-check","Liveness: reachable=True, endpoint=https://ag0.xyz","","0xc2640b0d68d09e7003e2cfbe7e72e6976220a442937279b3eaf10687827bb153"
